msg_type,Available in message queue,Description
10000110,"0, 2",Async command completion successful (outbound)
10000111,"0, 2",Async command completion failed (outbound)
20000100,"0, 2, 8",Sent text message (outbound)
20000101,"0, 2, 8",Incoming text message
20000103,"0, 2, 8",All messages deleted (outbound)
21100100,"0, 2, 8",Sent text message (outbound)
21100101,"0, 2, 8",Incoming text message
30000200,"0, 2",Position query
31100200,"0, 2",Position query
31100202,"0, 2",Position reply - error
40000220,"0, 2",Position message
40000230,"0, 2",Distance message
41100300,"0, 2",Position message
41100310,"0, 2",Position/total position number
41100320,"0, 2",Position message
41100330,"0, 2",Distance message
41100340,"0, 2",Position message
41100350,"0, 2",Position/total position number
41100351,"0, 2",Position message - empty
41100353,"0, 2",Tracking data indicating the number of positions delivered
50000420,"0, 2",Standstill begin
50000421,"0, 2",Standstill end
50000424,"0, 2",Standstill end - indicating the duration of the standstill event
51100420,"0, 2",Standstill begin
51100421,"0, 2",Standstill end
51100426,"0, 2",Movement violation
51100427,"0, 2",Position lock alarm
60000510,"0, 2",Ignition on
60000511,"0, 2",Ignition off
60000520,"0, 2, 7",Unit switched on
60000521,"0, 2, 7",Unit switched off
60000545,"0, 2, 7",Input switched on
60000546,"0, 2, 7",Input switched off
60000547,"0, 2, 7",GPS antenna connected (specific to LINK 300/310)
60000548,"0, 2, 7",GPS antenna disconnected (specific to LINK 300/310)
60000551,"0, 2, 7",External GSM antenna connected (specific to LINK 510)
60000552,"0, 2, 7",External GSM antenna disconnected/not connected (specific to LINK 510)
60000553,"0, 2, 7",External GSM antenna error/defective/does not comply with technical requirements from Webfleet
60000831,"0, 2, 7",PTO (input) switched on
60000832,"0, 2, 7",PTO (input) switched off
61100510,"0, 2",Ignition on
61100511,"0, 2",Ignition off
61100512,"0, 2, 7",Trip data
61100530,"0, 2, 7",Power connected
61100531,"0, 2, 7",GPS antenna failure
61100532,"0, 2, 7",Power disconnected
61100540,"0, 2, 7",Input signal changed
61100542,"0, 2, 7",Operating data
61100543,"0, 2, 7",Operating data not available
61100544,"0, 2, 7","Operating data: input name, number of switch events, duration, distance"
61100545,"0, 2, 7",Input switched on
61100546,"0, 2, 7",Input switched off
61100547,"0, 2, 7",Request operating data - error (specific to LINK classic)
66000510,"0, 2, 7","Device on (specific to TomTom GO 715). Note: This device is no longer in use."
66000511,"0, 2, 7","Device off (specific to TomTom GO 715). Note: This device is no longer in use."
70000600,"0, 2",Switch indicated output on
70000601,"0, 2",Switch indicated output off
70000602,"0, 2",Acknowledgment for message 600
70000603,"0, 2",Acknowledgment for message 601
71100600,"0, 2",Switch indicated output on
71100601,"0, 2",Switch indicated output off
71100602,"0, 2",Acknowledgment for message 600
71100603,"0, 2",Acknowledgment for message 601
80000705,"0, 2, 5, 7",Status message
80000706,"0, 2, 5, 7",Text message
80000710,"0, 2, 5, 7",Logon driver (including tachograph driver card inserted)
80000711,"0, 2, 5, 7",Logoff driver (including tachograph driver card removed)
80000712,"0, 2, 5, 7","Begin of work, driver indicated"
